Time,ax,ay,az
0.174011, 0.383047, -0.842703, 8.00568
0.282043, 0.497961, 1.26405, 2.91116
0.389038, 0.689484, 4.67317, 7.50772
0.496033, 2.60472, 6.5118, 14.8239
0.603027, 3.06437, 4.63487, 23.0594
0.710022, 3.79216, 7.77585, 23.6723
0.818054, 4.55826, 13.6748, 21.6421
0.925049, 5.24774, -2.33659, -3.40912
1.03302, -0.0383047, 0.114914, 0.0383047
1.13904, -0.0383047, -0.0383047, 0.0766094
1.24701, -0.114914, 0.0766094, 0.383047
1.354, 0.0, 0.0, 0.0383047
1.461, 0.0, -0.0766094, 0.459656
1.56903, 0.306437, -0.0766094, 0.268133
1.73804, 0.114914, -11.9511, 4.903
1.84503, -0.842703, -10.6487, 9.72939
1.953, 5.63079, -4.67317, 16.3944
2.06, 5.93723, -5.66909, 12.4107
2.16705, 4.13691, -4.51995, 13.9429
2.27502, 1.6088, -2.98777, 12.2958
2.38104, -0.612875, -2.56641, 11.2999
2.48901, 0.57457, -1.53219, 8.27381
2.59601, 0.344742, -2.83455, 7.04806
2.70404, -0.344742, -3.60064, 7.20128
2.81104, -0.268133, -4.25182, 6.47349
2.91803, -0.191523, -5.17113, 6.70332
