Time,ax,ay,az
0.175049, 1.41727, 3.33251, 20.0333
0.282043, -0.881008, -0.804398, 28.0773
0.390015, 3.75386, 4.21351, 28.9583
0.497009, 2.4898, 9.95922, 20.4164
0.604004, 0.268133, -0.191523, 0.229828
0.71106, 0.383047, 0.0383047, -0.114914
0.818054, 0.421352, -0.114914, 0.57457
0.932007, 0.497961, -0.0383047, 0.0
1.04004, 0.421352, -0.153219, 0.421352
1.14703, 0.536266, -0.0766094, 0.268133
1.255, 0.497961, -0.0383047, 0.344742
1.362, 40.3731, -15.6283, -14.5941
1.46906, 15.2836, 0.306437, 2.75794
1.57501, 18.5012, 2.68133, 8.84838
1.74304, 12.7555, 2.37489, 9.03991
1.849, 8.35042, 0.612875, 8.96329
1.95703, 7.62263, 0.766094, 8.31211
2.06403, 7.85246, 0.804398, 8.27381
2.17206, 4.59656, -0.229828, 6.70332
2.27905, 3.71555, -1.6088, 7.66094
2.38702, 2.18337, -2.29828, 7.66094
2.49402, 2.68133, -3.14098, 8.38873
2.60004, 3.10268, -4.0603, 7.85246
2.70801, 2.4898, -4.59656, 8.08229
2.815, 2.37489, -5.05622, 8.1589
2.92303, 2.75794, -5.05622, 8.58025
