Time,ax,ay,az
0.172012, -23.9021, 1.03423, 26.6984
0.280014, -16.5093, -9.92091, 16.7391
0.387009, -1.22575, -0.459656, -1.99184
0.49501, -1.07253, -0.191523, -1.76202
0.603012, -1.03423, 0.153219, -1.49388
0.710007, -0.995922, 0.497961, -1.18745
0.817001, -1.14914, 0.459656, -1.91523
0.924011, -1.03423, 0.57457, -1.99184
1.03201, -0.995922, 0.306437, -1.95354
1.13901, -1.49388, -0.0766094, -1.72371
1.24701, 2.33659, 6.5118, -7.27789
1.354, -8.54194, 0.804398, -5.09452
1.46201, -6.85654, -9.19312, -15.092
1.569, -10.687, -3.44742, -15.2453
1.737, -8.92499, -6.35858, -2.10676
1.84401, -2.4515, -4.97961, 3.83047
1.95201, -9.88261, -2.64302, 0.957617
2.05901, -8.1589, -3.14098, 3.02607
2.16701, -8.31211, -1.53219, 3.67725
2.274, -8.00568, 0.191523, 4.36673
2.38101, -3.2559, 1.14914, 8.42703
2.48901, -1.68541, 1.22575, 9.30804
2.59601, -1.45558, 1.45558, 7.92907
2.70401, -0.459656, 1.72371, 9.07821
2.811, -0.268133, 1.87693, 9.34634
2.91901, 0.0, 2.18337, 8.88668
