Time,ax,ay,az
0.173004, -3.48573, 3.83047, 18.5012
0.279999, -18.8842, -2.79624, 25.5109
0.388, -1.49388, -1.80032, -2.03015
0.494995, 1.76202, -0.804398, -1.14914
0.602997, -0.727789, -0.459656, -1.22575
0.710007, -0.689484, -0.153219, -1.34066
0.818008, -0.766094, 0.229828, -1.30236
0.925003, -0.842703, 0.383047, -1.18745
1.032, -0.612875, 0.65118, -1.57049
1.14, -0.727789, 0.612875, -1.6088
1.24699, 1.72371, 4.44334, 0.191523
1.355, 9.0016, -0.727789, -9.46126
1.46201, 6.89484, -3.90708, -13.7514
1.57001, 7.3928, -2.10676, -13.2917
1.789, 7.46941, -1.30236, -10.687
1.897, -5.09452, 3.56234, -1.30236
2.004, -10.2273, 1.11084, 2.64302
2.112, -8.96329, -0.268133, 8.46534
2.22, -2.25998, -3.44742, 6.24366
2.326, -2.22167, 3.14098, 9.49956
2.43401, -1.18745, 1.34066, 11.4914
2.541, -3.56234, 2.68133, 7.77585
2.649, -2.4898, 5.47757, 7.58433
2.756, -2.68133, 2.94946, 6.47349
2.86301, -5.40096, 1.11084, 7.46941
2.97101, -8.50364, -0.612875, 7.46941
