Time,ax,ay,az
0.170013, -0.268133, 1.99184, 9.15482
0.276001, -0.153219, 1.91523, 9.15482
0.382996, -0.383047, 2.06845, 9.15482
0.490997, -0.306437, 1.95354, 9.03991
0.597992, -0.306437, 2.03015, 9.19312
0.705994, -0.383047, 1.95354, 9.42295
0.812988, -0.344742, 1.83862, 8.96329
0.92099, -0.344742, 1.87693, 9.19312
1.02802, -0.306437, 1.91523, 9.03991
1.134, -0.421352, 2.06845, 9.07821
1.242, -0.191523, 2.03015, 9.26973
1.349, -0.191523, 1.91523, 9.23143
1.457, -0.114914, 1.91523, 8.92499
1.564, -0.191523, 1.87693, 8.81008
1.728, -0.421352, 2.25998, 8.88668
1.836, -0.383047, 2.18337, 9.42295
1.94199, -0.421352, 2.25998, 8.65686
2.048, -0.497961, 2.10676, 9.30804
2.15601, -0.497961, 2.14506, 9.0016
2.26199, -0.766094, 2.18337, 9.11651
2.36899, -0.957617, 2.25998, 8.92499
2.47501, -1.22575, 2.41319, 9.0016
2.58301, -1.11084, 2.64302, 9.38465
2.69, -0.0383047, 2.4515, 8.69516
2.797, 0.191523, 1.6471, 9.23143
2.90601, 0.0, 3.02607, 7.27789
