Time,ax,ay,az
0.17099, -0.995922, 3.60064, 8.73347
0.277985, -0.65118, 2.94946, 9.30804
0.385986, -0.957617, 3.33251, 9.0016
0.492981, -0.881008, 3.17929, 9.15482
0.600983, -0.57457, 3.33251, 9.11651
0.707001, -0.727789, 3.17929, 8.92499
0.813995, -0.65118, 3.33251, 9.03991
0.921997, -0.65118, 3.14098, 9.15482
1.02899, -0.65118, 3.14098, 9.26973
1.13699, -0.727789, 3.21759, 9.03991
1.24399, -0.957617, 3.21759, 9.76769
1.35199, -0.804398, 3.2942, 9.26973
1.45801, -0.842703, 3.37081, 9.19312
1.565, -0.842703, 3.21759, 9.42295
1.73599, -0.65118, 3.48573, 9.19312
1.84399, -0.957617, 3.40912, 8.96329
1.95099, -0.842703, 3.33251, 9.07821
2.05899, -0.766094, 3.2942, 9.19312
2.16599, -0.727789, 3.44742, 9.38465
2.272, -0.727789, 3.2942, 8.96329
2.38, -0.727789, 3.21759, 9.19312
2.487, -0.727789, 3.40912, 9.0016
2.595, -0.842703, 3.37081, 9.46126
2.702, -0.919312, 3.40912, 9.19312
2.81, -0.689484, 3.2942, 9.61448
2.91699, -0.65118, 3.40912, 9.34634
