Time,ax,ay,az
0.109009, 0.383047, 1.6088, 9.72939
0.21701, -0.229828, 1.07253, 9.8443
0.326004, 0.497961, 1.07253, 9.65278
0.432999, 0.497961, 1.14914, 9.76769
0.541, 0.421352, 1.18745, 9.95922
0.649002, 0.459656, 1.26405, 9.92091
0.755997, 0.536266, 1.22575, 9.26973
0.865005, 0.421352, 1.30236, 9.806
0.973007, 0.306437, 1.22575, 10.0358
1.08, 0.497961, 1.22575, 9.49956
1.188, 0.306437, 1.26405, 9.69109
1.295, 0.459656, 1.18745, 9.69109
1.403, 0.383047, 1.34066, 9.61448
1.509, 0.421352, 1.34066, 9.72939
1.617, 0.114914, 1.14914, 9.69109
1.724, 0.459656, 1.03423, 9.53786
1.83101, 0.306437, 1.30236, 9.49956
1.94, 0.306437, 1.49388, 9.95922
2.047, 0.344742, 1.22575, 9.65278
2.15601, 0.344742, 1.22575, 9.72939
2.26401, 0.459656, 1.11084, 9.92091
2.37201, -0.0766094, 1.34066, 9.69109
2.481, 0.383047, 1.07253, 9.53786
2.589, 0.306437, 1.30236, 9.88261
2.696, 0.229828, 1.18745, 9.92091
2.802, 0.344742, 1.26405, 9.95922
2.91, 0.383047, 1.30236, 9.61448
