Time,ax,ay,az
0.162994, 5.86062, -0.919312, 9.03991
0.270996, 5.55418, -2.68133, 8.73347
0.377991, 3.2559, -6.05214, 9.53786
0.484985, 2.64302, -5.82231, 9.38465
0.591003, -0.421352, -5.59248, 8.38873
0.699005, -3.37081, -4.17521, 7.20128
0.804993, -5.36266, -2.98777, 6.47349
0.911987, -5.59248, -2.75794, 5.86062
1.01999, -4.86469, -1.72371, 5.40096
1.12698, -4.36673, -2.56641, 8.31211
1.23599, -4.51995, -0.727789, 8.84838
1.34198, -3.48573, -0.65118, 7.89076
1.44998, -1.57049, -0.65118, 6.85654
1.55701, -1.68541, -0.727789, 7.89076
1.72, -1.87693, -0.919312, 9.46126
1.827, -2.60472, -1.11084, 10.687
1.935, -2.83455, -1.22575, 9.57617
2.04199, -2.14506, -1.41727, 8.88668
2.14999, -1.99184, -0.306437, 7.43111
2.25699, -1.80032, -1.18745, 9.23143
2.36499, -0.842703, -2.10676, 9.76769
2.47198, -0.804398, -2.25998, 10.189
2.57898, -1.22575, -1.99184, 8.96329
2.68698, -1.03423, -2.10676, 9.34634
2.79401, -1.14914, -2.10676, 9.42295
2.90198, -1.18745, -2.03015, 9.19312
