Time,ax,ay,az
0.106995, -0.153219, -0.497961, 9.38465
0.215996, -0.153219, -0.383047, 9.46126
0.323997, 0.153219, -0.344742, 9.23143
0.431999, -0.153219, -0.383047, 9.34634
0.541, 0.114914, -0.306437, 9.46126
0.648994, 0.306437, -0.344742, 9.46126
0.757996, -0.153219, -0.344742, 9.53786
0.865997, -0.229828, -0.536266, 9.15482
0.973999, -0.229828, -0.306437, 9.42295
1.082, -0.153219, -0.421352, 9.46126
1.189, -0.114914, -0.421352, 9.49956
1.297, 0.344742, -0.191523, 9.69109
1.404, -0.421352, -0.421352, 9.23143
1.51199, 0.0383047, -0.344742, 9.49956
1.62, 0.306437, -0.344742, 9.38465
1.728, -0.0766094, -0.344742, 9.15482
1.837, -0.191523, -0.268133, 9.57617
1.945, 0.153219, -0.268133, 9.26973
2.054, -0.229828, -0.612875, 9.46126
2.16199, 0.0, -0.383047, 9.53786
2.27, 0.268133, -0.268133, 9.57617
2.379, -0.421352, -0.459656, 9.61448
2.486, 0.153219, -0.268133, 9.69109
2.59399, 0.191523, -0.383047, 9.49956
2.701, 0.0766094, -0.497961, 9.61448
2.808, 0.344742, -0.306437, 9.69109
2.916, 0.306437, -0.421352, 9.42295
