Time,ax,ay,az
0.171021, 0.114914, -0.268133, 9.61448
0.279053, -0.0383047, -0.497961, 9.88261
0.386047, 0.114914, -0.421352, 9.92091
0.494019, 0.0, -0.421352, 9.72939
0.601013, 0.0383047, -0.421352, 9.53786
0.709045, 0.0383047, -0.421352, 9.57617
0.81604, 0.0383047, -0.421352, 9.806
0.921997, 0.0, -0.306437, 9.26973
1.03003, -0.0383047, -0.421352, 9.72939
1.13702, -0.114914, -0.344742, 9.53786
1.245, 0.0, -0.421352, 9.38465
1.35205, 0.0766094, -0.268133, 9.11651
1.45905, 0.0766094, -0.459656, 9.65278
1.56702, 0.0766094, -0.344742, 9.57617
1.742, -0.0383047, -0.344742, 9.806
1.849, 0.114914, -0.459656, 9.34634
1.95703, -0.0383047, -0.497961, 9.30804
2.06403, 0.0383047, -0.459656, 9.34634
2.17102, -0.0766094, -0.383047, 9.88261
2.27905, 0.191523, -0.344742, 9.53786
2.38605, 0.153219, -0.383047, 9.53786
2.49402, 0.0, -0.306437, 9.76769
2.60101, 0.229828, -0.421352, 9.46126
2.70905, 0.0766094, -0.383047, 9.76769
2.81604, 0.153219, -0.459656, 9.69109
2.92401, 0.0, -0.344742, 9.8443
