Time,ax,ay,az
0.177002, -13.5216, -1.72371, -1.68541
0.283997, -20.8377, -11.2616, -0.65118
0.391006, -1.45558, 1.49388, -0.727789
0.498001, -1.83862, 1.07253, -0.919312
0.606003, -1.91523, 0.536266, 0.153219
0.714005, -0.842703, 0.57457, 0.114914
0.820999, -4.71148, -22.9062, -21.872
0.928009, -4.02199, 2.91116, -2.22167
1.036, -10.4955, -4.74978, -7.58433
1.14301, -8.1972, -2.56641, -5.36266
1.25, -7.69924, -3.06437, -4.97961
1.35901, -7.73755, -3.06437, -5.05622
1.465, -7.92907, -2.91116, -5.32435
1.573, -7.92907, -3.10268, -4.82639
1.741, -7.77585, -2.94946, -4.78809
1.847, -7.62263, -3.02607, -4.44334
1.955, -7.73755, -2.98777, -4.32843
2.062, -7.89076, -3.02607, -4.9413
2.16901, -7.81416, -2.87285, -4.97961
2.27701, -7.96737, -2.83455, -5.20944
2.384, -7.89076, -2.94946, -5.40096
2.492, -7.81416, -2.91116, -5.20944
2.599, -7.89076, -2.87285, -4.55826
2.70601, -7.77585, -2.83455, -4.32843
2.814, -7.89076, -2.98777, -4.903
2.92101, -7.81416, -2.94946, -4.903
