Time,ax,ay,az
0.179001, -18.6927, -14.9005, -3.02607
0.285995, -1.22575, 0.995922, -1.18745
0.395004, -0.919312, 0.842703, -1.07253
0.500992, -1.45558, 0.459656, -0.612875
0.608002, -1.37897, 0.0766094, -0.536266
0.716003, -1.34066, 0.0766094, 0.727789
0.822998, -1.22575, -9.72939, 17.1988
0.931, -1.49388, -2.14506, 0.421352
1.03799, -8.50364, -7.16298, 1.49388
1.146, -8.42703, 0.421352, -6.12875
1.25299, -7.16298, 0.153219, -4.67317
1.36, -7.58433, -2.75794, 3.02607
1.46899, 5.78401, 0.0, 6.81823
1.575, 0.804398, -0.842703, 9.30804
1.743, 0.57457, -0.689484, 9.34634
1.851, 0.536266, -0.57457, 9.42295
1.95799, 0.57457, -0.57457, 9.42295
2.065, 0.497961, -0.57457, 9.42295
2.173, 0.536266, -0.804398, 9.46126
2.28, 0.727789, -0.57457, 9.806
2.388, 0.497961, -0.65118, 9.42295
2.495, 0.612875, -0.421352, 9.76769
2.603, 0.536266, -0.65118, 9.69109
2.70999, 0.536266, -0.689484, 9.38465
2.817, 0.727789, -0.57457, 9.38465
2.925, 0.536266, -0.536266, 9.53786
