Time,ax,ay,az
0.242004, -3.75386, -3.94538, 8.00568
0.348999, -4.29012, -0.0383047, -0.65118
0.455994, 0.153219, -0.114914, -0.57457
0.563995, 0.0766094, -0.153219, -0.153219
0.67099, 8.92499, -3.2942, -42.6714
0.778992, 4.32843, -0.344742, -3.67725
0.885986, 11.3382, -0.383047, -4.48165
0.993988, 8.69516, -0.421352, -5.55418
1.10098, 8.42703, -0.306437, -4.86469
1.20798, 8.54194, -0.306437, -5.20944
1.31598, 8.54194, -0.383047, -5.05622
1.423, 8.54194, -0.306437, -5.05622
1.53101, 8.46534, -0.344742, -4.71148
1.638, 8.54194, -0.268133, -4.78809
1.746, 8.61855, -0.268133, -5.17113
1.85498, 8.54194, -0.306437, -4.97961
1.96298, 8.27381, -0.344742, -5.13283
2.07199, 8.61855, -0.306437, -4.9413
2.17999, 8.77177, -0.306437, -4.78809
2.28799, 8.61855, -0.383047, -5.09452
2.397, 8.46534, -0.344742, -4.903
2.505, 8.46534, -0.344742, -4.67317
2.61398, 8.42703, -0.344742, -4.97961
2.72098, 8.42703, -0.383047, -4.63487
2.828, 9.0016, -0.957617, -4.29012
2.936, 6.09044, 2.52811, -10.189
