Time,ax,ay,az
0.177002, -0.268133, -14.9388, -18.1564
0.286011, 0.0383047, 0.421352, -0.229828
0.392029, -0.153219, 0.497961, -0.191523
0.499023, -0.344742, -20.4164, 72.166
0.606995, -1.80032, -2.94946, -0.421352
0.713989, -1.72371, 0.766094, -11.9128
0.822021, 3.02607, 4.51995, -1.80032
0.929016, 25.6641, 11.7978, -11.9511
1.03699, 4.21351, 0.612875, -8.46534
1.14398, 3.40912, 0.957617, -8.84838
1.25104, 3.75386, 0.689484, -8.92499
1.35901, 3.33251, 0.842703, -9.30804
1.466, 3.37081, 0.689484, -9.03991
1.57404, 3.21759, 0.804398, -8.84838
1.74298, 3.14098, 0.727789, -9.11651
1.85101, 3.33251, 0.727789, -9.19312
1.95703, 3.33251, 0.957617, -9.42295
2.065, 3.33251, 0.766094, -8.96329
2.172, 3.14098, 0.804398, -8.92499
2.28003, 3.33251, 0.65118, -9.11651
2.388, 3.60064, 0.881008, -9.38465
2.495, 3.44742, 0.727789, -9.07821
2.60199, 3.2942, 0.804398, -8.73347
2.70898, 3.40912, 0.727789, -9.19312
2.81702, 3.48573, 0.65118, -9.61448
2.92499, 3.37081, 0.536266, -9.34634
