Time,ax,ay,az
0.173004, -35.0871, -17.1222, -1.68541
0.280998, -1.37897, 0.191523, -0.536266
0.388, -0.842703, -0.344742, -0.421352
0.495003, -0.306437, -0.536266, -0.459656
0.602997, 0.0766094, -0.268133, -0.153219
0.709999, -1.18745, 9.46126, 5.78401
0.818001, 3.44742, -6.28197, -12.0277
0.925003, 4.0603, -5.7074, -2.22167
1.033, 3.56234, -17.0839, 10.8785
1.14, -9.72939, -8.04398, 5.89892
1.248, -7.3928, -5.59248, 3.83047
1.356, -7.12467, -5.36266, 4.63487
1.462, -6.85654, -5.47757, 4.48165
1.57, -6.47349, -5.43926, 4.32843
1.736, -6.39688, -5.47757, 4.9413
1.843, -6.43519, -5.36266, 4.78809
1.951, -6.32027, -5.32435, 4.67317
2.058, -6.62671, -5.40096, 4.55826
2.165, -6.62671, -5.32435, 4.21351
2.273, -6.47349, -5.40096, 4.59656
2.38, -6.43519, -5.36266, 4.51995
2.488, -4.21351, -5.32435, 3.79216
2.59499, -8.35042, -8.42703, 3.98369
2.702, -6.09044, -5.13283, 10.9934
2.81001, -13.2534, -5.7457, 9.07821
2.917, -9.07821, -6.43519, 6.28197
